Connectivity System,AGL Enablement Date,Type,Property Manager Code,SF Account Name,SF Account ID,Comment
Avantio,N/A,PMSC,AngelServices,NOT FOUND,NOT FOUND,
Avantio,N/A,PMSC,ApartamentosGandiaEspana,NOT FOUND,NOT FOUND,
Avantio,N/A,PMSC,Beachvillas,NOT FOUND,NOT FOUND,
Avantio,N/A,PMSC,HabitatHolidays,NOT FOUND,NOT FOUND,
Avantio,N/A,PMSC,shortletlondon,NOT FOUND,NOT FOUND,
Avantio,N/A,PMSC,Snale,NOT FOUND,NOT FOUND,
Avantio,N/A,PMSC,TALLINNCITYAPARTMENTSOU,NOT FOUND,NOT FOUND,
Avantio,N/A,PMSC,AlgarveLifestyle,VR_PM Algarve Lifestyle,0010y00001gZu3LAAS,
Avantio,N/A,PMSC,AlgarveVacation,VR_PM Algarve Vacation,0010y00001iyDEKAA2,
Avantio,N/A,PMSC,AlicanteRealEstate,VR_PM Alicante Real Estate,0010y00001dvBNQAA2,
Avantio,N/A,PMSC,ALWAYSEASY,VR_PM ALWAYSEASY,0010y00001fRywJAAS,
Avantio,N/A,PMSC,APARPLAYAINVERSIONESINMOBILIARIAS,VR_PM APARPLAYA INVERSIONES INMOBILIARIAS,0010y00001imlLvAAI,
Avantio,N/A,PMSC,Apartrent,VR_PM Apartrent,0010y00001fKQBMAA4,
Avantio,N/A,PMSC,ATTITUDESERVICES,VR_PM ATTITUDE SERVICES,0010y00001beEpxAAE,
Avantio,N/A,PMSC,BasqueStaysSpain,VR_PM Basque Stays Spain,0010y00001l04WlAAI,
Avantio,N/A,PMSC,BMACyprusHolidayGroup,VR_PM BMA Cyprus Holiday Group,0010y00001a3paDAAQ,
Avantio,N/A,PMSC,CarolinKugler,VR_PM Carolin Kugler,0010y00001djUvaAAE,
Avantio,N/A,PMSC,CasasolNerja,VR_PM Casasol Nerja,0010y00001jBvZsAAK,
Avantio,N/A,PMSC,Centragence,VR_PM Centragence,0010y00001aWfCaAAK,
Avantio,N/A,PMSC,ChamonixHolidays,VR_PM Chamonix Holidays,0010y00001kIJtMAAW,
Avantio,N/A,PMSC,CheckinPortugal,VR_PM Checkin Portugal,0010y00001hMpSpAAK,
Avantio,N/A,PMSC,ClubVillamar,VR_PM Club Villamar,0010y00001kK0cDAAS,
Avantio,N/A,PMSC,CompagnieImmobiliariAssociatesrl,VR_PM Compagnie Immobiliari Associate srl,0010y00001gabEXAAY,
Avantio,N/A,PMSC,DalmaPortuguesa,VR_PM D'alma Portuguesa,0010y00001imqgcAAA,
Avantio,N/A,PMSC,DotHolidaySA,VR_PM Dot Holiday SA,0010y00001fVURJAA4,
Avantio,N/A,PMSC,Dotvillas,VR_PM Dotvillas,0010y00001cxB0eAAE,
Avantio,N/A,PMSC,EasyVillasMallorca,VR_PM Easy Villas Mallorca,0010y00001ipmzEAAQ,
Avantio,N/A,PMSC,EasyGoVacationHomesRental,VR_PM EasyGo Vacation Homes Rental,0018b00002e6F7VAAU,
Avantio,N/A,PMSC,FEELHOME,VR_PM FEEL HOME,0010y00001a3pd9AAA,
Avantio,N/A,PMSC,Fidalsa,VR_PM Fidalsa,0010y00001YmeugAAB,
